epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,726.229,0.71624,0.54756,1.17956,0.85154,0.86854,0.88482,0.62704,1.22478,0.8302,1.71696,0.00110362,0.00110362,0.00110362
117,731.828,0.72558,0.53139,1.17587,0.81049,0.80158,0.82369,0.59749,1.19465,0.81222,1.72083,0.00110079,0.00110079,0.00110079
118,737.453,0.71178,0.52504,1.16598,0.86419,0.83465,0.84276,0.58332,1.25466,0.75871,1.74668,0.00109796,0.00109796,0.00109796
119,743.112,0.71469,0.5602,1.17233,0.83251,0.7901,0.84479,0.61757,1.23411,0.79239,1.66042,0.00109513,0.00109513,0.00109513
120,748.876,0.71219,0.52392,1.16964,0.83916,0.79365,0.82024,0.6062,1.21932,0.7291,1.72812,0.0010923,0.0010923,0.0010923
121,754.645,0.69423,0.51523,1.15872,0.82841,0.81167,0.84787,0.6406,1.26055,0.82328,1.74287,0.00108947,0.00108947,0.00108947
122,760.335,0.69275,0.50513,1.16144,0.92413,0.90184,0.92661,0.64236,1.26093,0.77626,1.74132,0.00108664,0.00108664,0.00108664
123,766.136,0.72726,0.51968,1.17828,0.96269,0.81664,0.92417,0.62817,1.22159,0.69722,1.66451,0.00108381,0.00108381,0.00108381
124,771.88,0.69977,0.51026,1.16772,0.89151,0.82516,0.8793,0.62824,1.27256,0.70993,1.75142,0.00108098,0.00108098,0.00108098
125,777.671,0.69676,0.50977,1.1578,0.93615,0.75661,0.87131,0.64931,1.25223,0.74104,1.68386,0.00107815,0.00107815,0.00107815
126,783.257,0.69258,0.50448,1.15474,0.87068,0.76826,0.84042,0.62656,1.26507,0.79154,1.73362,0.00107532,0.00107532,0.00107532
127,788.95,0.69778,0.51989,1.16689,0.84795,0.77967,0.83427,0.60755,1.2323,0.97237,1.71981,0.00107249,0.00107249,0.00107249
128,795.33,0.69875,0.52727,1.1557,0.80423,0.87422,0.89498,0.61412,1.20576,0.81258,1.69921,0.00106966,0.00106966,0.00106966
129,801.024,0.70752,0.53621,1.17578,0.90401,0.8946,0.92514,0.61614,1.40646,0.85607,1.92418,0.00106683,0.00106683,0.00106683
130,806.651,0.7026,0.51627,1.15406,0.89424,0.76106,0.86308,0.62501,1.29834,0.81591,1.71438,0.001064,0.001064,0.001064
131,812.307,0.69667,0.5207,1.16261,0.93113,0.73745,0.84099,0.61914,1.30223,0.80197,1.76107,0.00106118,0.00106118,0.00106118
132,817.964,0.68754,0.52343,1.16168,0.97958,0.73734,0.90534,0.66603,1.15957,0.78251,1.63029,0.00105835,0.00105835,0.00105835
133,823.632,0.70185,0.50663,1.17013,0.94724,0.74465,0.89839,0.64553,1.16738,0.72607,1.63407,0.00105552,0.00105552,0.00105552
134,829.24,0.6983,0.49895,1.15785,0.87504,0.81415,0.86294,0.6412,1.12685,0.79793,1.56263,0.00105269,0.00105269,0.00105269
135,834.833,0.69434,0.51826,1.15788,0.84866,0.80266,0.81923,0.61323,1.21097,0.767,1.71562,0.00104986,0.00104986,0.00104986
136,840.393,0.65718,0.50043,1.12657,0.84284,0.82564,0.87113,0.63858,1.13809,0.74424,1.60016,0.00104703,0.00104703,0.00104703
137,846.041,0.63156,0.48915,1.12109,0.73035,0.69273,0.78901,0.59507,1.14978,0.89917,1.60109,0.0010442,0.0010442,0.0010442
138,851.695,0.64714,0.49936,1.12538,0.85115,0.80913,0.83533,0.61657,1.18966,0.8637,1.6331,0.00104137,0.00104137,0.00104137
139,857.381,0.63825,0.4697,1.12996,0.87864,0.80521,0.87262,0.65316,1.15231,0.71235,1.61425,0.00103854,0.00103854,0.00103854
140,862.872,0.65663,0.49418,1.13608,0.85915,0.7934,0.86838,0.65272,1.18263,0.74979,1.67785,0.00103571,0.00103571,0.00103571
141,868.398,0.66491,0.48423,1.13267,0.80393,0.77286,0.8308,0.59815,1.36203,0.90059,1.84894,0.00103288,0.00103288,0.00103288
142,873.954,0.64605,0.47707,1.12963,0.9027,0.76841,0.84771,0.61862,1.26245,0.795,1.80851,0.00103005,0.00103005,0.00103005
143,879.615,0.68503,0.50439,1.16163,0.92213,0.77005,0.83374,0.62952,1.24873,0.78594,1.81299,0.00102722,0.00102722,0.00102722
144,885.1,0.64591,0.48444,1.12628,0.78935,0.79003,0.83521,0.59826,1.20396,0.88555,1.70413,0.00102439,0.00102439,0.00102439
145,890.687,0.65647,0.48839,1.14109,0.89708,0.79737,0.87367,0.6734,1.12342,0.79413,1.58891,0.00102156,0.00102156,0.00102156
146,896.224,0.6511,0.48624,1.12252,0.90035,0.79607,0.88217,0.64981,1.18333,0.67805,1.63403,0.00101873,0.00101873,0.00101873
147,901.65,0.64786,0.494,1.11578,0.81732,0.79259,0.8756,0.62406,1.20538,0.73023,1.68875,0.0010159,0.0010159,0.0010159
148,907.071,0.65939,0.47714,1.14578,0.8751,0.74767,0.86119,0.63807,1.16859,0.80562,1.66672,0.00101308,0.00101308,0.00101308
149,912.52,0.64619,0.48392,1.1228,0.90347,0.78529,0.88292,0.63908,1.22403,0.74516,1.71112,0.00101025,0.00101025,0.00101025
150,917.933,0.63788,0.4689,1.10738,0.90582,0.77964,0.85532,0.61236,1.2179,0.77588,1.73394,0.00100742,0.00100742,0.00100742
151,923.372,0.65656,0.47592,1.13287,0.89283,0.77308,0.83584,0.59286,1.23325,0.7572,1.73179,0.00100459,0.00100459,0.00100459
152,928.813,0.63601,0.47149,1.12262,0.90411,0.73003,0.88519,0.65478,1.24295,0.68001,1.71481,0.00100176,0.00100176,0.00100176
153,934.268,0.62624,0.45286,1.11621,0.88295,0.76921,0.92667,0.65588,1.22989,0.66677,1.71559,0.000998928,0.000998928,0.000998928
154,939.691,0.63085,0.47462,1.11504,0.91279,0.7897,0.84989,0.64399,1.25579,0.72482,1.7544,0.000996099,0.000996099,0.000996099
155,945.144,0.64846,0.50106,1.13103,0.92766,0.74907,0.86305,0.61086,1.23455,0.70499,1.74452,0.000993269,0.000993269,0.000993269
156,950.564,0.63916,0.48183,1.12485,0.84015,0.77639,0.8468,0.58987,1.19172,0.67741,1.73318,0.00099044,0.00099044,0.00099044
